similarity (splittings) (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstNormalized2GramOverlapMinMatchLength3,0,15,3,0,6,0,0,0,0,0
rkrGstNormalized3GramDiceMinMatchLength1,0,18,1,2,2,2,2,0,3,2
rkrGstNormalized3GramDiceMinMatchLength2,0,18,1,2,2,2,2,0,3,2
rkrGstNormalized3GramDiceMinMatchLength3,0,18,1,2,2,2,2,0,3,2
rkrGstNormalized3GramDiceVariantMinMatchLength1,0,31,6,9,11,0,10,0,10,8
rkrGstNormalized3GramDiceVariantMinMatchLength2,0,30,5,9,7,0,10,0,0,8
rkrGstNormalized3GramDiceVariantMinMatchLength3,0,30,5,9,7,0,0,0,0,8
rkrGstNormalized3GramJaccardMinMatchLength1,0,14,0,2,1,2,1,0,0,3
rkrGstNormalized3GramJaccardMinMatchLength2,0,14,0,2,1,2,1,0,0,3
rkrGstNormalized3GramJaccardMinMatchLength3,0,9,0,2,1,2,1,0,0,3
rkrGstNormalized3GramOverlapMinMatchLength1,0,29,0,1,7,0,0,0,0,0
rkrGstNormalized3GramOverlapMinMatchLength2,0,15,0,1,7,0,0,0,0,0
rkrGstNormalized3GramOverlapMinMatchLength3,0,15,0,1,7,0,0,0,0,1
rkrGstNormalized4GramDiceMinMatchLength1,0,18,1,2,2,2,2,0,3,3
rkrGstNormalized4GramDiceMinMatchLength2,0,17,1,2,2,2,2,0,3,3
rkrGstNormalized4GramDiceMinMatchLength3,0,13,1,2,2,2,2,0,3,3
rkrGstNormalized4GramDiceVariantMinMatchLength1,0,29,5,4,7,0,0,0,0,8
rkrGstNormalized4GramDiceVariantMinMatchLength2,0,27,5,0,7,0,0,0,0,8
rkrGstNormalized4GramDiceVariantMinMatchLength3,0,27,5,0,7,0,0,0,0,8
rkrGstNormalized4GramJaccardMinMatchLength1,0,10,0,2,2,2,1,0,1,3
rkrGstNormalized4GramJaccardMinMatchLength2,0,10,0,2,2,2,1,0,1,3
rkrGstNormalized4GramJaccardMinMatchLength3,0,4,0,2,2,2,1,0,1,3
rkrGstNormalized4GramOverlapMinMatchLength1,0,15,0,1,0,0,0,0,0,1
rkrGstNormalized4GramOverlapMinMatchLength2,0,15,0,1,0,0,0,0,0,1
rkrGstNormalized4GramOverlapMinMatchLength3,0,15,0,1,0,0,0,0,0,1
rkrGstNormalized5GramDiceMinMatchLength1,0,12,1,2,2,2,2,0,3,3
rkrGstNormalized5GramDiceMinMatchLength2,0,12,1,2,2,2,2,0,3,3
rkrGstNormalized5GramDiceMinMatchLength3,0,12,1,2,2,2,2,0,3,3
rkrGstNormalized5GramDiceVariantMinMatchLength1,0,20,5,0,6,0,0,0,0,8
rkrGstNormalized5GramDiceVariantMinMatchLength2,0,20,5,0,6,0,0,0,0,8
rkrGstNormalized5GramDiceVariantMinMatchLength3,0,20,5,0,0,0,0,0,0,8
rkrGstNormalized5GramJaccardMinMatchLength1,0,5,2,2,2,2,2,0,3,3
rkrGstNormalized5GramJaccardMinMatchLength2,0,5,2,2,2,2,2,0,3,3
rkrGstNormalized5GramJaccardMinMatchLength3,0,5,2,2,2,2,2,0,3,3
rkrGstNormalized5GramOverlapMinMatchLength1,0,15,0,1,0,0,0,0,0,2
rkrGstNormalized5GramOverlapMinMatchLength2,0,15,0,1,0,0,0,0,0,2
rkrGstNormalized5GramOverlapMinMatchLength3,0,15,0,1,0,0,0,0,0,2
rkrGstNormalizedShingle2DiceMinMatchLength1,0,6,1,2,2, no result,2,0,3,1
rkrGstNormalizedShingle2DiceMinMatchLength2,0,6,1,2,2, no result,2,0,3,9
rkrGstNormalizedShingle2DiceMinMatchLength3,0,6,1,10,2, no result,2,0,3,9
rkrGstNormalizedShingle2DiceVariantMinMatchLength1,0,1,0,0,6, no result,0,0,0,0
rkrGstNormalizedShingle2DiceVariantMinMatchLength2,0,1,0,0,0, no result,0,0,0,8
rkrGstNormalizedShingle2DiceVariantMinMatchLength3,0,1,0,9,0, no result,0,0,0,8
rkrGstNormalizedShingle2JaccardMinMatchLength1,0,7,3,2,2, no result,2,0,3,1
rkrGstNormalizedShingle2JaccardMinMatchLength2,0,7,3,2,2, no result,2,0,3,9
rkrGstNormalizedShingle2JaccardMinMatchLength3,0,7,3,10,2, no result,2,0,3,9
rkrGstNormalizedShingle2OverlapMinMatchLength1,0,3,0,1,0, no result,0,0,0,0
rkrGstNormalizedShingle2OverlapMinMatchLength2,0,3,0,1,0, no result,0,0,0,8
rkrGstNormalizedShingle2OverlapMinMatchLength3,0,3,0,10,0, no result,0,0,0,9
rkrGstNormalizedShingle3DiceMinMatchLength1,0,6,2,2,2, no result,2,0,3, no result
rkrGstNormalizedShingle3DiceMinMatchLength2,0,6,2,10,2, no result,2,0,3, no result
rkrGstNormalizedShingle3DiceMinMatchLength3,0,6,2,10,2, no result,2,0,3, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength1,0,1,0,0,0, no result,0,0,0, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength2,0,1,0,9,0, no result,0,0,0, no result
rkrGstNormalizedShingle3DiceVariantMinMatchLength3,0,1,0,9,0, no result,0,0,0, no result
rkrGstNormalizedShingle3JaccardMinMatchLength1,0,7,3,2,2, no result,2,0,3, no result
rkrGstNormalizedShingle3JaccardMinMatchLength2,0,7,3,10,2, no result,2,0,3, no result
rkrGstNormalizedShingle3JaccardMinMatchLength3,0,7,3,10,2, no result,2,0,3, no result
rkrGstNormalizedShingle3OverlapMinMatchLength1,0,3,0,1,0, no result,0,0,0, no result
rkrGstNormalizedShingle3OverlapMinMatchLength2,0,3,0,10,0, no result,0,0,0, no result
rkrGstNormalizedShingle3OverlapMinMatchLength3,0,3,0,10,0, no result,0,0,0, no result
rkrGstNormalizedTokenDiceMinMatchLength1,0,7,0,2,2,2,2,0,1,3
rkrGstNormalizedTokenDiceMinMatchLength2,0,7,0,2,2,2,2,0,1,3
rkrGstNormalizedTokenDiceMinMatchLength3,0,7,0,2,2,11,2,0,1,10
rkrGstNormalizedTokenDiceVariantMinMatchLength1,0,31,6,3,11,0,6,0,10,0
rkrGstNormalizedTokenDiceVariantMinMatchLength2,0,1,0,0,0,0,0,0,0,1
rkrGstNormalizedTokenDiceVariantMinMatchLength3,0,1,0,1,0,9,0,0,0,8
rkrGstNormalizedTokenJaccardMinMatchLength1,0,3,0,2,0,2,1,0,0,3
rkrGstNormalizedTokenJaccardMinMatchLength2,0,4,0,2,0,2,1,0,0,3
rkrGstNormalizedTokenJaccardMinMatchLength3,0,4,0,2,0,11,1,0,0,10
rkrGstNormalizedTokenOverlapMinMatchLength1,0,19,1,2,6,1,5,0,0,2
rkrGstNormalizedTokenOverlapMinMatchLength2,0,4,0,2,0,1,1,0,0,2
rkrGstNormalizedTokenOverlapMinMatchLength3,0,4,0,2,0,10,1,0,0,9
rkrGstShingle2DiceMinMatchLength1,0,7,0,2,2, no result,2,0,1,3
rkrGstShingle2DiceMinMatchLength2,0,7,0,2,2, no result,2,0,1,10
rkrGstShingle2DiceMinMatchLength3,0,7,0,10,2, no result,2,0,1,10
rkrGstShingle2DiceVariantMinMatchLength1,0,1,0,0,0, no result,0,0,0,1
rkrGstShingle2DiceVariantMinMatchLength2,0,1,0,1,0, no result,0,0,0,8
rkrGstShingle2DiceVariantMinMatchLength3,0,1,0,9,0, no result,0,0,0,8
rkrGstShingle2JaccardMinMatchLength1,0,8,2,2,2, no result,2,0,1,3
rkrGstShingle2JaccardMinMatchLength2,0,8,2,2,2, no result,2,0,1,10
rkrGstShingle2JaccardMinMatchLength3,0,8,2,10,2, no result,2,0,1,10
rkrGstShingle2OverlapMinMatchLength1,0,5,0,2,0, no result,1,0,0,3
rkrGstShingle2OverlapMinMatchLength2,0,5,0,2,0, no result,1,0,0,10
rkrGstShingle2OverlapMinMatchLength3,0,5,0,10,0, no result,1,0,0,10
rkrGstShingle3DiceMinMatchLength1,0, no result,1,2,2, no result,2,0,1, no result
rkrGstShingle3DiceMinMatchLength2,0, no result,1,10,2, no result,2,0,1, no result
rkrGstShingle3DiceMinMatchLength3,0, no result,1,10,8, no result,2,0,1, no result
rkrGstShingle3DiceVariantMinMatchLength1,0, no result,0,1,0, no result,0,0,0, no result
rkrGstShingle3DiceVariantMinMatchLength2,0, no result,0,9,0, no result,0,0,0, no result
rkrGstShingle3DiceVariantMinMatchLength3,0, no result,0,9,6, no result,0,0,0, no result
rkrGstShingle3JaccardMinMatchLength1,0, no result,2,2,2, no result,4,0,3, no result
rkrGstShingle3JaccardMinMatchLength2,0, no result,2,10,2, no result,4,0,3, no result
rkrGstShingle3JaccardMinMatchLength3,0, no result,2,10,8, no result,5,0,3, no result
rkrGstShingle3OverlapMinMatchLength1,0, no result,1,2,0, no result,1,0,0, no result
rkrGstShingle3OverlapMinMatchLength2,0, no result,1,10,0, no result,1,0,0, no result
rkrGstShingle3OverlapMinMatchLength3,0, no result,1,10,6, no result,1,0,0, no result
rkrGstTokenDiceMinMatchLength1,0,5,0,2,2,2,2,0,1,3
rkrGstTokenDiceMinMatchLength2,0,7,0,2,2,2,2,0,1,3
rkrGstTokenDiceMinMatchLength3,0,7,0,2,2,11,2,0,1,10
rkrGstTokenDiceVariantMinMatchLength1,0,31,6,3,5,0,6,0,10,0
rkrGstTokenDiceVariantMinMatchLength2,0,1,0,0,0,0,0,0,0,1
rkrGstTokenDiceVariantMinMatchLength3,0,1,0,1,0,9,0,0,0,8
rkrGstTokenJaccardMinMatchLength1,0,3,0,2,1,2,1,0,1,3
rkrGstTokenJaccardMinMatchLength2,0,4,0,2,1,2,1,0,1,3
rkrGstTokenJaccardMinMatchLength3,0,4,0,2,1,11,1,0,1,10
rkrGstTokenOverlapMinMatchLength1,0,19,0,2,1,2,1,0,0,2
rkrGstTokenOverlapMinMatchLength2,0,5,0,2,0,2,1,0,0,2
rkrGstTokenOverlapMinMatchLength3,0,5,0,2,0,11,1,0,0,10
winnowing2GramDice,0,6,2,2,2,2,5,0,3,3
winnowing2GramDiceVariant,0,4,0,0,0,0,0,0,0,0
winnowing2GramJaccard,0,7,3,2,2,2,6,0,3,3
winnowing2GramOverlap,0,4,1,1,0,1,4,0,2,3
winnowing3GramDice,0,6,2,2,2,2,5,0,3,3
winnowing3GramDiceVariant,0,1,0,0,0,0,0,0,0,0
winnowing3GramJaccard,0,7,3,2,2,2,6,0,3,3
winnowing3GramOverlap,0,4,1,0,0,1,3,0,0,3
winnowing4GramDice,0,6,2,2,2,2,5,0,3,3
winnowing4GramDiceVariant,0,3,0,0,0,0,0,0,0,0
winnowing4GramJaccard,0,7,3,2,2,2,6,0,3,3
winnowing4GramOverlap,0,5,1,1,0,2,4,0,0,3
winnowing5GramDice,0,6,2,2,2,2,6,0,3,3
winnowing5GramDiceVariant,0,2,0,0,0,0,0,0,0,0
winnowing5GramJaccard,0,7,3,2,2,2,6,0,3,3
winnowing5GramOverlap,0,5,1,1,0,1,5,0,0,3
winnowingNormalized2GramDice,0,6,2,2,2,2,5,0,3,3
winnowingNormalized2GramDiceVariant,0,3,0,0,0,0,0,0,0,1
winnowingNormalized2GramJaccard,0,8,3,2,2,2,6,0,3,3
winnowingNormalized2GramOverlap,0,6,1,1,0,1,4,0,1,2
winnowingNormalized3GramDice,0,7,2,2,2,2,6,0,3,3
winnowingNormalized3GramDiceVariant,0,3,0,0,0,0,0,0,0,1
winnowingNormalized3GramJaccard,0,8,3,2,2,2,6,0,3,3
winnowingNormalized3GramOverlap,0,6,1,1,0,2,5,0,0,2
winnowingNormalized4GramDice,0,7,2,2,2,2,6,0,3,3
winnowingNormalized4GramDiceVariant,0,3,0,0,0,0,0,0,0,1
winnowingNormalized4GramJaccard,0,8,3,2,2,2,6,0,3,3
winnowingNormalized4GramOverlap,0,6,1,2,0,1,5,0,0,2
winnowingNormalized5GramDice,0,7,2,2,2,2,6,0,3,3
winnowingNormalized5GramDiceVariant,0,3,0,0,0,0,0,0,0,1
winnowingNormalized5GramJaccard,0,8,3,2,2,2,6,0,3,3
winnowingNormalized5GramOverlap,0,6,1,1,0,2,5,0,0,3
winnowingNormalizedShingle2Dice,0,8,3,2,2, no result,3,0,3,1
winnowingNormalizedShingle2DiceVariant,0,2,0,0,0, no result,0,0,0,0
winnowingNormalizedShingle2Jaccard,0,8,3,2,2, no result,4,0,3,1
winnowingNormalizedShingle2Overlap,0,7,2,1,0, no result,2,0,1,0
winnowingNormalizedShingle3Dice,0,7,3,2,2, no result,3,0,3, no result
winnowingNormalizedShingle3DiceVariant,0,2,0,1,0, no result,0,0,0, no result
winnowingNormalizedShingle3Jaccard,0,8,3,2,3, no result,4,0,3, no result
winnowingNormalizedShingle3Overlap,0,7,2,1,0, no result,1,0,3, no result
winnowingNormalizedTokenDice,0,7,2,2,2,2,3,0,1,2
winnowingNormalizedTokenDiceVariant,0,4,0,1,0,0,0,0,0,1
winnowingNormalizedTokenJaccard,0,7,2,2,3,2,3,0,3,2
winnowingNormalizedTokenOverlap,0,6,2,2,0,1,0,0,0,1
winnowingShingle2Dice,0,7,2,2,2, no result,3,0,1,3
winnowingShingle2DiceVariant,0,1,0,0,0, no result,0,0,0,1
winnowingShingle2Jaccard,0,8,2,2,3, no result,4,0,3,3
winnowingShingle2Overlap,0,7,2,1,0, no result,1,0,0,2
winnowingShingle3Dice,0, no result,1,2,3, no result,3,0,3, no result
winnowingShingle3DiceVariant,0, no result,0,1,0, no result,0,0,0, no result
winnowingShingle3Jaccard,0, no result,2,2,3, no result,4,0,3, no result
winnowingShingle3Overlap,0, no result,1,2,1, no result,3,0,0, no result
winnowingTokenDice,0,7,2,1,2,2,3,0,3,2
winnowingTokenDiceVariant,0,3,0,1,0,0,0,0,0,1
winnowingTokenJaccard,0,8,2,1,3,2,3,0,3,2
winnowingTokenOverlap,0,7,2,1,0,1,0,0,1,1
