total time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
cosineNormalized2GramsBool,0,4,0,11,7,4,0,0,1,5
cosineNormalized2GramsNormalizedTermFrequency,0,4,0,12,8,4,0,0,1,5
cosineNormalized2GramsTermFrequency,0,5,0,11,8,4,0,0,1,7
cosineNormalized3GramsBool,0,17,0,14,11,9,0,0,1,6
cosineNormalized3GramsNormalizedTermFrequency,0,5,0,15,9,5,0,0,1,8
cosineNormalized3GramsTermFrequency,0,5,0,14,9,5,0,0,1,6
cosineNormalized4GramsBool,0,5,0,15,10,5,0,0,1,6
cosineNormalized4GramsNormalizedTermFrequency,0,6,0,15,12,6,0,0,1,7
cosineNormalized4GramsTermFrequency,0,6,0,18,12,6,0,0,1,8
cosineNormalized5GramsBool,0,5,0,15,11,5,0,0,1,7
cosineNormalized5GramsNormalizedTermFrequency,0,8,0,17,11,5,0,0,1,8
cosineNormalized5GramsTermFrequency,0,5,0,16,13,5,0,0,1,7
cosineNormalizedShingle2Bool,0,3,0,11,8, no result,0,0,1,4
cosineNormalizedShingle2NormalizedTermFrequency,0,3,0,11,8, no result,0,0,0,4
cosineNormalizedShingle2TermFrequency,0,3,0,10,7, no result,0,0,1,4
cosineNormalizedShingle3Bool,0,4,0,17,13, no result,0,0,1, no result
cosineNormalizedShingle3NormalizedTermFrequency,0,3,0,11,8, no result,0,0,0, no result
cosineNormalizedShingle3TermFrequency,0,3,0,11,9, no result,0,0,0, no result
cosineNormalizedTokensBool,0,1,0,5,3,2,0,0,0,2
cosineNormalizedTokensNormalizedTermFrequency,0,1,0,5,3,2,0,0,0,2
cosineNormalizedTokensTermFrequency,0,1,0,5,3,2,0,0,0,2
damerauLevenshteinNormalized,0,24,4,304,954,62,4,2,16,238
damerauLevenshteinStandard,0,29,4,567,1857,158,6,2,25,323
dice2Grams,0,2,0,7,6,2,0,0,0,3
dice3Grams,0,2,0,9,6,3,0,0,0,3
dice4Grams,0,2,0,9,7,3,0,0,0,4
dice5Grams,0,2,0,9,7,3,0,0,0,4
diceNormalized2Grams,0,4,0,9,7,3,0,0,0,5
diceNormalized3Grams,0,3,0,9,7,3,0,0,0,4
diceNormalized4Grams,0,3,0,10,8,3,0,0,1,5
diceNormalized5Grams,0,3,0,10,8,3,0,0,1,5
diceNormalizedPadding2grams,0,3,0,9,7,3,0,0,0,4
diceNormalizedPadding3grams,0,3,0,12,8,3,0,0,0,5
diceNormalizedPadding4grams,0,3,0,10,8,4,0,0,1,5
diceNormalizedPadding5grams,0,4,0,10,11,4,0,0,1,5
diceNormalizedShingles2,0,3,0,8,6, no result,0,0,0,3
diceNormalizedShingles3,0,2,0,9,7, no result,0,0,0, no result
diceNormalizedTokens,0,1,0,4,3,1,0,0,0,1
diceShingles2,0,1,0,6,4, no result,0,0,0,2
diceShingles3,0, no result,0,8,13, no result,0,0,0, no result
diceTokens,0,0,0,4,3,1,0,0,0,1
diceVariant2Grams,0,2,0,7,7,2,0,0,0,3
diceVariant3Grams,0,2,0,12,8,4,0,0,0,4
diceVariant4Grams,0,2,0,9,7,3,0,0,0,4
diceVariant5Grams,0,2,0,9,7,4,0,0,0,4
diceVariantNormalized2Grams,0,3,0,8,6,3,0,0,0,4
diceVariantNormalized3Grams,0,4,0,10,7,3,0,0,0,4
diceVariantNormalized4Grams,0,3,0,11,9,4,0,0,0,21
diceVariantNormalized5Grams,0,4,0,12,9,3,0,0,0,5
diceVariantNormalizedPadding2grams,0,3,0,11,8,4,0,0,1,5
diceVariantNormalizedPadding3grams,0,3,0,10,9,3,0,0,0,5
diceVariantNormalizedPadding4grams,0,3,0,10,8,3,0,0,0,4
diceVariantNormalizedPadding5grams,0,4,0,10,8,3,0,0,1,5
diceVariantNormalizedShingles2,0,3,0,10,7, no result,0,0,0,3
diceVariantNormalizedShingles3,0,2,0,9,7, no result,0,0,0, no result
diceVariantNormalizedTokens,0,1,0,3,3,1,0,0,0,1
diceVariantShingles2,0,1,0,6,4, no result,0,0,0,2
diceVariantShingles3,0, no result,0,8,5, no result,0,0,0, no result
diceVariantTokens,0,1,0,3,2,1,0,0,0,1
jaccard2Grams,0,3,0,8,6,3,0,0,0,3
jaccard3Grams,0,3,0,10,7,3,0,0,0,4
jaccard4Grams,0,4,0,11,8,3,0,0,0,4
jaccard5Grams,0,4,0,16,12,6,0,0,1,5
jaccardNormalized2Grams,0,4,0,12,9,10,0,0,1,5
jaccardNormalized3Grams,0,4,0,11,8,3,0,0,1,6
jaccardNormalized4Grams,0,4,0,11,9,4,0,0,0,5
jaccardNormalized5Grams,0,5,0,15,10,4,0,0,1,5
jaccardNormalizedPadding2grams,0,3,0,10,7,3,0,0,0,5
jaccardNormalizedPadding3grams,0,4,0,11,8,4,0,0,0,5
jaccardNormalizedPadding4grams,0,4,0,13,9,4,0,0,0,5
jaccardNormalizedPadding5grams,0,5,0,12,9,4,0,0,1,6
jaccardNormalizedShingles2,0,3,0,9,7, no result,0,0,0,3
jaccardNormalizedShingles3,0,2,0,10,7, no result,0,0,0, no result
jaccardNormalizedTokens,0,5,0,11,8,4,0,0,1,5
jaccardShingles2,0,2,0,8,4, no result,0,0,0,3
jaccardShingles3,0, no result,0,10,6, no result,0,0,0, no result
jaccardTokens,0,0,0,3,2,1,0,0,0,1
levenshteinNormalized,0,4,0,50,143,13,0,0,3,44
levenshteinStandard,0,5,0,98,273,22,1,0,4,56
longestCommonSubsequence2GramFingerprint,0,4,0,35,115,14,0,0,2,21
longestCommonSubsequence2GramFingerprintNormalized,0,6,0,46,388,10,0,0,2,35
longestCommonSubsequence3GramFingerprint,0,3,0,20,43,6,0,0,1,10
longestCommonSubsequence3GramFingerprintNormalized,0,6,0,53,149,11,1,0,3,43
longestCommonSubsequence4GramFingerprint,0,2,0,16,30,5,0,0,1,9
longestCommonSubsequence4GramFingerprintNormalized,0,5,0,38,111,11,1,0,2,33
longestCommonSubsequence5GramFingerprint,0,2,0,14,24,4,0,0,0,7
longestCommonSubsequence5GramFingerprintNormalized,0,5,0,38,105,8,0,0,2,31
longestCommonSubsequenceNormalized,0,8,1,104,278,23,1,0,5,72
longestCommonSubsequenceShingle2Fingerprint,0,1,0,8,5, no result,0,0,0,3
longestCommonSubsequenceShingle2FingerprintNormalized,0,2,0,9,7, no result,0,0,0,3
longestCommonSubsequenceShingle3Fingerprint,0, no result,0,7,5, no result,0,0,0, no result
longestCommonSubsequenceShingle3FingerprintNormalized,0,3,0,9,8, no result,0,0,1, no result
longestCommonSubsequenceStandard,0,10,3,179,501,44,1,1,8,101
manhattanNormalized2Grams,0,5,0,11,7,4,0,0,1,5
manhattanNormalized3Grams,0,5,0,13,9,5,0,0,1,6
manhattanNormalized4Grams,0,6,0,20,13,6,0,0,1,7
manhattanNormalized5Grams,0,6,0,15,13,6,0,0,1,7
manhattanNormalizedShingles2,0,3,0,10,8, no result,0,0,0,4
manhattanNormalizedShingles3,0,4,0,10,9, no result,0,0,0, no result
manhattanNormalizedTokens,0,2,0,6,3,2,0,0,0,2
optimalAlignment2GramFingerprint,0,14,2,244,664,62,2,1,11,143
optimalAlignment2GramFingerprintNormalized,0,9,1,95,272,18,1,1,5,91
optimalAlignment3GramFingerprint,0,13,2,251,702,72,3,1,14,156
optimalAlignment3GramFingerprintNormalized,0,12,1,94,264,18,1,0,5,85
optimalAlignment4GramFingerprint,0,21,2,278,609,54,2,1,9,122
optimalAlignment4GramFingerprintNormalized,0,10,1,91,275,19,1,0,5,77
optimalAlignment5GramFingerprint,0,13,2,240,653,61,2,1,10,134
optimalAlignment5GramFingerprintNormalized,0,9,1,91,271,18,1,0,5,76
optimalAlignmentNormalized,0,20,3,220,585,45,3,2,12,169
optimalAlignmentShingle2Fingerprint,0,2,0,9,6, no result,0,0,0,3
optimalAlignmentShingle2FingerprintNormalized,0,2,0,11,9, no result,0,0,0,4
optimalAlignmentShingle3Fingerprint,0, no result,0,10,8, no result,0,0,0, no result
optimalAlignmentShingle3FingerprintNormalized,0,3,0,11,12, no result,0,0,1, no result
optimalAlignmentStandard,0,23,3,417,1156,107,4,2,18,233
overlap2Grams,0,3,0,7,7,2,0,0,0,3
overlap3Grams,0,2,0,8,6,4,0,0,0,6
overlap4Grams,0,2,0,9,7,3,0,0,0,4
overlap5Grams,0,2,0,10,8,3,0,0,0,4
overlapNormalized2Grams,0,3,0,9,7,3,0,0,0,4
overlapNormalized3Grams,0,4,0,11,8,3,0,0,0,6
overlapNormalized4Grams,0,3,0,10,8,3,0,0,0,4
overlapNormalized5Grams,0,3,0,18,11,4,0,0,0,5
overlapNormalizedPadding2grams,0,3,0,9,7,3,0,0,0,5
overlapNormalizedPadding3grams,0,3,0,10,8,3,0,0,0,5
overlapNormalizedPadding4grams,0,4,0,12,9,4,0,0,0,5
overlapNormalizedPadding5grams,0,3,0,10,8,3,0,0,0,5
overlapNormalizedShingles2,0,2,0,9,7, no result,0,0,0,3
overlapNormalizedShingles3,0,3,0,10,7, no result,0,0,0, no result
overlapNormalizedTokens,0,3,0,11,7,3,0,0,0,4
overlapShingles2,0,1,0,6,4, no result,0,0,0,2
overlapShingles3,0, no result,0,7,8, no result,0,0,0, no result
overlapTokens,0,1,0,3,2,1,0,0,0,1
rkrGst2GramDiceMinMatchLength1,0,36,5,368,1227,390,4,3,8,245
rkrGst2GramDiceMinMatchLength2,0,46,6,353,1258,346,3,2,7,239
rkrGst2GramDiceMinMatchLength3,0,31,5,264,1168,326,3,3,8,235
rkrGst2GramDiceVariantMinMatchLength1,0,37,5,380,1217,361,3,2,7,239
rkrGst2GramDiceVariantMinMatchLength2,0,34,5,278,1185,343,4,2,8,244
rkrGst2GramDiceVariantMinMatchLength3,0,38,5,298,1128,339,3,2,7,243
rkrGst2GramJaccardMinMatchLength1,0,36,5,365,1213,366,3,3,8,244
rkrGst2GramJaccardMinMatchLength2,0,36,5,274,1229,350,3,3,8,247
rkrGst2GramJaccardMinMatchLength3,0,36,5,272,1175,319,3,2,8,305
rkrGst2GramOverlapMinMatchLength1,0,38,5,350,1271,367,3,2,7,243
rkrGst2GramOverlapMinMatchLength2,0,44,6,307,1362,398,4,3,9,279
rkrGst2GramOverlapMinMatchLength3,0,33,4,263,1186,319,3,2,7,235
rkrGst3GramDiceMinMatchLength1,0,37,5,310,2235,228,4,3,8,264
rkrGst3GramDiceMinMatchLength2,0,33,5,306,2237,220,4,4,9,279
rkrGst3GramDiceMinMatchLength3,0,33,5,293,2180,243,3,3,8,254
rkrGst3GramDiceVariantMinMatchLength1,0,44,6,358,2307,231,3,4,8,270
rkrGst3GramDiceVariantMinMatchLength2,0,35,5,307,2371,230,3,3,8,267
rkrGst3GramDiceVariantMinMatchLength3,0,37,11,379,2304,217,3,3,8,317
rkrGst3GramJaccardMinMatchLength1,0,37,5,307,2425,233,4,3,8,274
rkrGst3GramJaccardMinMatchLength2,0,36,5,317,2338,245,4,3,9,282
rkrGst3GramJaccardMinMatchLength3,0,34,5,302,2303,221,4,3,8,267
rkrGst3GramOverlapMinMatchLength1,0,37,5,311,2250,226,3,3,8,261
rkrGst3GramOverlapMinMatchLength2,0,34,5,356,2504,258,4,3,9,296
rkrGst3GramOverlapMinMatchLength3,0,33,5,296,2243,231,5,3,8,267
rkrGst4GramDiceMinMatchLength1,0,39,5,359,3017,172,3,3,10,284
rkrGst4GramDiceMinMatchLength2,0,35,7,369,3095,181,3,4,11,302
rkrGst4GramDiceMinMatchLength3,0,35,5,371,3071,162,4,3,13,325
rkrGst4GramDiceVariantMinMatchLength1,0,40,5,374,3069,203,4,3,9,288
rkrGst4GramDiceVariantMinMatchLength2,0,35,5,362,3191,200,3,3,11,328
rkrGst4GramDiceVariantMinMatchLength3,0,38,6,362,2937,167,4,3,9,278
rkrGst4GramJaccardMinMatchLength1,0,42,5,380,3087,176,4,3,9,282
rkrGst4GramJaccardMinMatchLength2,0,36,5,360,3360,200,5,4,11,300
rkrGst4GramJaccardMinMatchLength3,0,37,5,386,3107,169,4,3,9,289
rkrGst4GramOverlapMinMatchLength1,0,42,5,363,2930,178,3,3,9,279
rkrGst4GramOverlapMinMatchLength2,0,36,5,355,2983,162,3,3,12,281
rkrGst4GramOverlapMinMatchLength3,0,35,5,355,3014,163,3,3,10,291
rkrGst5GramDiceMinMatchLength1,0,39,6,416,3248,156,5,4,10,322
rkrGst5GramDiceMinMatchLength2,0,38,7,396,3282,130,4,3,9,306
rkrGst5GramDiceMinMatchLength3,0,36,6,400,3133,139,4,3,9,293
rkrGst5GramDiceVariantMinMatchLength1,0,39,7,412,3312,138,4,4,9,310
rkrGst5GramDiceVariantMinMatchLength2,0,37,6,399,3205,139,5,3,9,303
rkrGst5GramDiceVariantMinMatchLength3,0,37,6,396,3228,146,4,3,9,292
rkrGst5GramJaccardMinMatchLength1,0,40,6,419,3132,135,4,3,10,317
rkrGst5GramJaccardMinMatchLength2,0,36,6,399,3451,148,5,3,11,360
rkrGst5GramJaccardMinMatchLength3,0,36,7,418,3108,131,4,3,9,290
rkrGst5GramOverlapMinMatchLength1,0,39,6,420,3243,135,4,5,9,299
rkrGst5GramOverlapMinMatchLength2,0,38,7,397,3195,132,4,3,9,318
rkrGst5GramOverlapMinMatchLength3,0,36,6,413,3038,130,4,3,10,292
rkrGstNormalized2GramDiceMinMatchLength1,0,23,3,147,326,36,2,1,3,141
rkrGstNormalized2GramDiceMinMatchLength2,0,20,2,128,321,33,2,1,4,141
rkrGstNormalized2GramDiceMinMatchLength3,0,20,2,123,335,33,2,1,3,157
rkrGstNormalized2GramDiceVariantMinMatchLength1,0,24,2,145,319,37,2,1,3,140
rkrGstNormalized2GramDiceVariantMinMatchLength2,0,23,2,126,325,36,2,1,4,144
rkrGstNormalized2GramDiceVariantMinMatchLength3,0,32,2,140,320,33,2,1,3,195
rkrGstNormalized2GramJaccardMinMatchLength1,0,24,2,157,335,37,2,1,4,143
rkrGstNormalized2GramJaccardMinMatchLength2,0,21,2,126,311,34,2,1,4,141
rkrGstNormalized2GramJaccardMinMatchLength3,0,24,2,159,363,35,3,1,7,186
