similarity (true negatives) (text), 3758880
winnowingNormalizedTokenDiceVariant, 2
winnowingTokenDiceVariant, 2
winnowingNormalized3GramDiceVariant, 2
optimalAlignment2GramFingerprintNormalized, 2
winnowingNormalized5GramDiceVariant, 2
diceVariantNormalizedTokens, 2
winnowingNormalizedShingle3Dice, no result
diceVariantNormalized4Grams, 2
longestCommonSubsequence4GramFingerprint, 2
longestCommonSubsequence5GramFingerprintNormalized, 2
diceVariantNormalizedPadding4grams, 2
longestCommonSubsequence2GramFingerprintNormalized, 2
overlapShingles2, no result
manhattanNormalizedTokens, 2
winnowingNormalized3GramJaccard, 2
diceVariantNormalizedShingles2, no result
cosineNormalized2GramsNormalizedTermFrequency, 2
cosineNormalized3GramsTermFrequency, 2
overlapNormalizedPadding5grams, 2
winnowingNormalized2GramDiceVariant, 2
winnowing5GramDice, 2
winnowingShingle2Dice, no result
overlapNormalizedPadding3grams, 2
overlapNormalized5Grams, 2
jaccard2Grams, 2
winnowingNormalized4GramDice, 2
overlap5Grams, 2
winnowingNormalized2GramOverlap, 2
optimalAlignment5GramFingerprintNormalized, 2
diceNormalizedPadding5grams, 2
overlap2Grams, 2
jaccardNormalizedPadding5grams, 2
overlapNormalized4Grams, 2
damerauLevenshteinStandard, 2
longestCommonSubsequenceShingle3FingerprintNormalized, no result
winnowing5GramOverlap, 2
longestCommonSubsequenceShingle2Fingerprint, no result
winnowingNormalizedShingle2Overlap, no result
cosineNormalized2GramsTermFrequency, 2
diceShingles3, no result
diceNormalizedShingles2, no result
winnowingNormalizedTokenOverlap, 2
winnowingTokenOverlap, 2
diceNormalizedPadding3grams, 2
jaccardShingles2, no result
dice3Grams, 2
winnowing4GramDice, 2
winnowingShingle3Overlap, no result
overlap3Grams, 2
cosineNormalized4GramsTermFrequency, 2
diceVariantTokens, 2
winnowingNormalizedTokenDice, 2
cosineNormalizedShingle2Bool, no result
winnowing3GramOverlap, 2
winnowing5GramDiceVariant, 2
winnowing5GramJaccard, 2
winnowingNormalized5GramDice, 2
diceNormalized5Grams, 2
cosineNormalizedTokensNormalizedTermFrequency, 2
jaccardNormalizedShingles3, no result
diceNormalizedPadding4grams, 2
winnowingNormalized2GramJaccard, 2
diceNormalized2Grams, 2
winnowingNormalized5GramJaccard, 2
winnowingNormalized3GramDice, 2
diceVariantShingles3, no result
overlapNormalized3Grams, 2
winnowingShingle2DiceVariant, no result
optimalAlignment4GramFingerprint, 2
jaccard3Grams, 2
cosineNormalizedTokensBool, 2
winnowingNormalized4GramJaccard, 2
winnowingNormalized5GramOverlap, 2
diceShingles2, no result
optimalAlignmentStandard, 2
longestCommonSubsequenceShingle2FingerprintNormalized, no result
jaccardShingles3, no result
cosineNormalizedShingle2NormalizedTermFrequency, no result
winnowingTokenDice, 2
diceTokens, 2
diceVariantNormalized3Grams, 2
jaccardNormalizedPadding4grams, 2
cosineNormalizedShingle3Bool, no result
overlapNormalizedShingles2, no result
diceVariantNormalizedPadding2grams, 2
dice4Grams, 2
cosineNormalized5GramsBool, 2
optimalAlignmentShingle2FingerprintNormalized, no result
cosineNormalized5GramsNormalizedTermFrequency, 2
diceVariant2Grams, 2
diceNormalized3Grams, 2
overlapNormalized2Grams, 2
diceVariantNormalizedPadding5grams, 2
diceNormalizedPadding2grams, 2
optimalAlignmentShingle3FingerprintNormalized, no result
winnowing2GramDice, 2
manhattanNormalized4Grams, 2
jaccardTokens, 2
diceVariantNormalizedShingles3, no result
levenshteinNormalized, 2
winnowingShingle2Jaccard, no result
overlapNormalizedPadding2grams, 2
jaccardNormalized5Grams, 2
winnowingNormalizedShingle2Jaccard, no result
jaccardNormalized4Grams, 2
overlapTokens, 2
jaccardNormalizedTokens, 2
overlapNormalizedShingles3, no result
winnowingNormalized3GramOverlap, 2
diceVariant4Grams, 2
optimalAlignment3GramFingerprint, 2
cosineNormalizedShingle3TermFrequency, no result
optimalAlignment5GramFingerprint, 2
overlapNormalizedTokens, 2
winnowingShingle3Jaccard, no result
longestCommonSubsequenceNormalized, 2
manhattanNormalized3Grams, 2
manhattanNormalized2Grams, 2
cosineNormalizedShingle3NormalizedTermFrequency, no result
winnowingNormalizedShingle2DiceVariant, no result
manhattanNormalizedShingles3, no result
overlapNormalizedPadding4grams, 2
jaccardNormalizedPadding3grams, 2
longestCommonSubsequence3GramFingerprint, 2
winnowingNormalizedShingle3DiceVariant, no result
winnowing4GramJaccard, 2
diceNormalizedShingles3, no result
diceVariantShingles2, no result
cosineNormalized3GramsNormalizedTermFrequency, 2
jaccardNormalized3Grams, 2
optimalAlignmentShingle2Fingerprint, no result
jaccardNormalizedShingles2, no result
manhattanNormalized5Grams, 2
dice5Grams, 2
longestCommonSubsequence4GramFingerprintNormalized, 2
winnowingNormalized2GramDice, 2
levenshteinStandard, 2
winnowing2GramDiceVariant, 2
longestCommonSubsequence5GramFingerprint, 2
winnowingNormalized4GramOverlap, 2
dice2Grams, 2
diceNormalizedTokens, 2
winnowingShingle3Dice, no result
cosineNormalizedTokensTermFrequency, 2
winnowingTokenJaccard, 2
winnowing3GramDice, 2
cosineNormalized3GramsBool, 2
longestCommonSubsequenceShingle3Fingerprint, no result
manhattanNormalizedShingles2, no result
winnowing2GramJaccard, 2
optimalAlignment2GramFingerprint, 2
winnowing4GramOverlap, 2
diceVariantNormalized2Grams, 2
winnowing4GramDiceVariant, 2
winnowingNormalizedTokenJaccard, 2
diceVariantNormalized5Grams, 2
cosineNormalized5GramsTermFrequency, 2
winnowing3GramJaccard, 2
diceVariant3Grams, 2
winnowing3GramDiceVariant, 2
jaccardNormalizedPadding2grams, 2
cosineNormalized4GramsBool, 2
winnowingNormalizedShingle2Dice, no result
jaccardNormalized2Grams, 2
diceVariantNormalizedPadding3grams, 2
cosineNormalizedShingle2TermFrequency, no result
diceNormalized4Grams, 2
winnowingNormalized4GramDiceVariant, 2
longestCommonSubsequenceStandard, 2
longestCommonSubsequence2GramFingerprint, 2
diceVariant5Grams, 2
jaccard5Grams, 2
optimalAlignmentNormalized, 2
optimalAlignment4GramFingerprintNormalized, 2
winnowing2GramOverlap, 2
winnowingNormalizedShingle3Jaccard, no result
cosineNormalized2GramsBool, 2
damerauLevenshteinNormalized, 2
winnowingShingle3DiceVariant, no result
cosineNormalized4GramsNormalizedTermFrequency, 2
overlap4Grams, 2
longestCommonSubsequence3GramFingerprintNormalized, 2
winnowingShingle2Overlap, no result
overlapShingles3, no result
winnowingNormalizedShingle3Overlap, no result
optimalAlignment3GramFingerprintNormalized, 2
jaccard4Grams, 2
optimalAlignmentShingle3Fingerprint, no result
